text,label
"So, like, I just got a 65 on my math exam, and it was worth 4 percent.",grade_tracking
"Uhm, my score on the calculus final was actually 88 percent.",grade_tracking
"Hey, I earned an A- in English Lit for that paper, it really boosted my grade!",grade_tracking
"Got 17 out of 20 on the history quiz, not too bad, you know?",grade_tracking
"I gotta record a 92 in Chem 101 for the midterm, it's like 30% of the course.",grade_tracking
"Just finished the essay, and I guess I got an 80 on it, that's what the professor said.",grade_tracking
"I received a B+ on my physics homework assignment, it counted for 5%.",grade_tracking
"My grade for the psychology project was a 72, not sure how much it weighs though.",grade_tracking
Could you please add my 98% in Biology for the lab report?,grade_tracking
"I made an A in my programming class's final project, huge relief.",grade_tracking
"So, what's my current standing in the Introduction to Philosophy course?",grade_tracking
"I need to log my 68 on the statistics test, it was worth 15 percent.",grade_tracking
"Just got my Political Science midterm back, got a C+.",grade_tracking
"My recent chemistry quiz score was 90%, it was worth 10 points.",grade_tracking
"Hey, I'm pretty happy, got a perfect score, 100%, on the last practice exam.",grade_tracking
"I got a 75 for that last assignment, like, what does it weigh?",grade_tracking
Can you track my grades? I got 85 on the Algebra mid-term and it's 25% of the course.,grade_tracking
My score was 60 on the lab practical for Chemistry.,grade_tracking
Please update my grade to an A for the final paper in Literature.,grade_tracking
"I just received a 91 in my Economics class for the essay, it's a 20% weight.",grade_tracking
I just scored an 82% on my physics quiz that counts for 5 percent of the class.,grade_tracking
"So, uh, I managed a 91 percent on my chemistry midterm, and it’s weighted at 15 percent of the final grade.",grade_tracking
Pulled a 73 on my history essay—worth 10 percent of the course grade.,grade_tracking
Got an 88% on the calculus final; it makes up 25 percent of my overall mark.,grade_tracking
"I ended up with a 64 percent on the bio lab report, which is only 3 percent of the total.",grade_tracking
"Turns out my English mid-term was a 79, counting as 12 percent of the semester.",grade_tracking
"Ugh, scored 56 % on that stats quiz, but luckily it’s just 2 percent of the grade.",grade_tracking
Bagged a solid 95 percent on my computer science project; it’s worth 20 percent overall.,grade_tracking
"My algebra test came back at 68/100, which is 68 percent, and it’s 6 percent of the final.",grade_tracking
I nailed an 87 % on the French oral exam—counts for 8 percent.,grade_tracking
Just got a 77 on the government quiz; that’s 7 percent of the term.,grade_tracking
"I received 92 percent on my psychology paper, worth 10 percent of the course.",grade_tracking
"Scored 83 % on the geometry midterm, which factors in at 18 percent.",grade_tracking
